
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    0.0.0.0:60914          184.26.54.85:443                       23220
  UDP    0.0.0.0:61278          8.8.8.8:443                            10332
  UDP    127.0.0.1:1900         *:*                                    7324
  UDP    127.0.0.1:5353         *:*                                    4508
  UDP    127.0.0.1:49664        127.0.0.1:49664                        3692
  UDP    127.0.0.1:56015        *:*                                    7324
  UDP    172.26.208.1:67        *:*                                    3192
  UDP    172.26.208.1:68        *:*                                    3192
  UDP    172.26.208.1:137       *:*                                    4
  UDP    172.26.208.1:138       *:*                                    4
  UDP    172.26.208.1:1900      *:*                                    7324
  UDP    172.26.208.1:5353      *:*                                    4272
  UDP    172.26.208.1:56016     *:*                                    7324
  UDP    192.168.68.104:137     *:*                                    4
  UDP    192.168.68.104:138     *:*                                    4
  UDP    192.168.68.104:1900    *:*                                    7324
  UDP    192.168.68.104:5353    *:*                                    4272
  UDP    192.168.68.104:56014   *:*                                    7324
  UDP    [::]:123               *:*                                    8252
  UDP    [::]:3389              *:*                                    1328
  UDP    [::]:5353              *:*                                    7272
  UDP    [::]:5353              *:*                                    21820
  UDP    [::]:5353              *:*                                    6548
  UDP    [::]:5353              *:*                                    7272
  UDP    [::]:5353              *:*                                    6548
  UDP    [::]:5353              *:*                                    1708
  UDP    [::]:5353              *:*                                    21820
  UDP    [::]:5355              *:*                                    1708
  UDP    [::]:49666             *:*                                    4272
  UDP    [::]:49668             *:*                                    4508
  UDP    [::]:54889             *:*                                    3192
  UDP    [::1]:1900             *:*                                    7324
  UDP    [::1]:5353             *:*                                    4272
  UDP    [::1]:56012            *:*                                    7324
  UDP    [fe80::b4c2:36cf:940:616d%21]:1900  *:*                                    7324
  UDP    [fe80::b4c2:36cf:940:616d%21]:56011  *:*                                    7324
  UDP    [fe80::c4d5:7b8a:b345:118a%29]:1900  *:*                                    7324
  UDP    [fe80::c4d5:7b8a:b345:118a%29]:56013  *:*                                    7324
